SL,HHNO,HOUSING_TYPE,HH_INCOME,BUSINESS_P_NO,EMPLOYED_P_NO,UNEMPLOYED_P_NO,CAR_OWN,MC_OWN
1,1,1,2,1,1,0,0,0
3,2,2,2,0,1,1,0,0
5,3,2,3,1,0,0,0,0
6,4,3,4,1,0,0,0,0
7,5,3,3,1,0,0,0,0
8,6,2,4,0,1,0,0,0
9,7,2,2,0,1,0,0,0
10,8,2,3,1,0,0,0,0
11,9,2,2,1,0,0,0,0
12,10,2,2,1,0,0,0,0
13,11,1,2,0,1,0,0,0
14,12,2,2,0,1,0,0,0
15,13,3,4,1,0,0,1,0
16,14,1,3,1,0,1,0,0
18,15,2,2,0,1,1,0,0
20,16,2,2,0,1,0,0,1
21,17,2,3,1,0,0,0,0
22,18,3,4,0,1,2,0,1
25,19,3,3,1,0,3,0,0
29,20,1,2,0,1,2,0,0
32,21,3,2,0,1,2,0,0
35,22,2,2,1,0,0,0,0
36,23,3,2,0,1,1,0,0
38,24,2,3,1,0,0,0,0
39,25,3,4,0,1,2,0,1
42,26,1,2,1,1,1,0,0
45,27,3,3,0,0,1,0,0
46,28,3,4,0,1,2,0,0
49,29,2,2,1,0,0,0,0
50,30,1,3,1,0,3,0,0
54,31,2,2,0,1,2,0,0
57,32,3,4,0,1,2,0,0
60,33,3,3,0,1,0,0,1
61,34,1,1,1,0,1,0,0
63,35,1,2,0,2,2,0,0
67,36,3,3,1,0,0,0,1
68,37,1,1,0,1,4,0,0
73,38,1,1,1,0,3,0,0
77,39,1,2,1,0,0,0,0
78,40,3,3,0,2,1,0,0
81,41,3,2,1,0,0,0,0
82,42,3,2,0,1,1,0,0
84,43,2,3,0,1,0,0,0
85,44,1,1,1,0,2,0,1
88,45,1,1,0,2,0,0,0
90,46,1,1,0,1,2,0,0
93,47,2,2,1,0,0,0,0
94,48,3,2,0,1,0,0,0
95,49,1,2,1,0,2,0,0
98,50,2,3,1,0,0,0,0
99,51,1,2,1,0,0,0,0
100,52,3,4,0,1,2,1,0
103,53,3,2,1,1,1,0,1
106,54,3,4,1,0,2,0,1
109,55,2,2,0,1,0,0,0
110,56,3,4,1,0,2,1,0
113,57,3,4,1,0,2,1,0
116,58,2,4,1,0,2,1,1
119,59,3,4,0,0,3,0,0
122,60,3,3,1,0,1,0,1
124,61,1,1,0,1,2,0,0
127,62,1,2,1,0,1,0,0
129,63,3,4,1,0,3,0,1
133,64,3,4,0,1,2,0,0
136,65,1,2,0,1,2,0,0
139,66,2,2,1,0,2,0,0
142,67,1,1,0,1,1,0,0
144,68,3,4,0,1,2,0,1
147,69,2,3,0,1,2,0,0
150,70,1,2,0,1,2,0,0
153,71,2,2,0,1,0,0,0
154,72,3,2,0,2,1,0,0
157,73,1,2,0,2,1,0,1
160,74,1,2,1,2,1,0,0
164,75,1,1,0,1,1,0,0
166,76,3,4,2,0,1,1,0
169,77,1,1,1,0,1,0,0
171,78,3,4,1,0,2,1,0
174,79,2,2,1,0,3,0,0
178,80,1,1,0,1,1,0,0
180,81,1,1,1,0,1,0,0
182,82,1,2,0,1,2,0,0
185,83,1,2,1,0,1,0,0
187,84,3,1,0,1,2,0,0
190,85,2,2,0,1,1,0,0
192,86,1,2,2,1,1,0,0
196,87,1,2,0,1,1,0,0
198,88,3,1,0,1,2,0,0
201,89,1,1,0,1,2,0,0
204,90,2,2,0,1,2,0,0
207,91,3,2,1,0,0,0,0
208,92,2,1,1,0,1,0,1
210,93,3,3,0,1,0,0,0
211,94,1,1,0,1,1,0,0
213,95,3,2,1,0,2,0,0
216,96,3,2,0,2,2,0,0
220,97,2,2,0,1,0,0,0
221,98,3,2,0,2,0,0,0
223,99,1,1,0,1,2,0,0
226,100,1,1,0,1,0,0,0
227,101,1,2,0,2,0,0,0
229,102,3,4,0,1,2,1,0
232,103,3,4,1,0,2,1,0
235,104,2,2,1,0,1,0,0
237,105,3,4,1,0,2,0,1
240,106,3,2,1,0,2,0,0
243,107,1,1,1,0,0,0,0
